Gene symbol
ZNF197
VPS11
IBTK
ZG16B
NA
ZNF790
PECR
ATP6V1B1
QPRT
CTNNA1
ESRP1
TARS3
RPGRIP1
MED1
ZNF598
ZKSCAN8
CES1
PON2
RAB31
TMEM80
AMY2B
CFAP20
TG
HLA-DRA
NXPH3
C4A
SNRPB
B2M
ZNF213
ARL14EP
TTC39A
TTC39A
PTP4A1
FLOT1
MIA2
CCRL2
PIK3R1
C19orf38
TMEM38A
PIAS3
TGM3
FAIM2
YY1
NA
IST1
FGF1
CDYL2
H6PD
TP53BP1
CNOT2
ZSCAN21
PCNP
RPL30
CCDC24
WWC1
ZNF343
SLC29A2
UBAP1
FNBP4
YY1AP1
NPIPB5
CNTNAP2
TM4SF1
LARP4
GNAI2
NUP188
NA
SLC35B2
ZHX1
RPS11
FBXW2
NBPF9
PHLPP2
VDAC2
NA
KHNYN
"NAPA"
CCDC14
SMOC2
ADNP2
SARAF
B2M
ZBTB25
SCAMP5
ILRUN
ADPRHL1
SNN
MARCHF6
PRKAR1A
NUMA1
ZNF112
TSGA10
TSGA10
PCF11
SAMD12
CEBPA
YPEL2
MRM2
PSG4
RPL7L1
PTPN6
OBSL1
TTBK2
ARL5B
USP36
NA
CARNS1
ERF
C5AR2
RBFOX2
NSRP1
CAPN3
CAPN3
PDP1
SNX22
C2
PUS3
PKIG
ZNF615
PTCHD4
PPM1D
SLC37A4
ZBTB21
ERCC4
CAPN2
USP34
DAZAP2
KDM3A
CRACR2A
TACC2
RTEL1
G3BP2
ETFDH
CLMN
NPR3
COL12A1
CDKL3
POLD4
VEZF1
PTGR1
NCR3LG1
ZFYVE27
PIH1D1
RSRC2
HNRNPDL
GSTA4
EIF4A2
FLNA
MPG
H2AJ
LMAN1
EP300
FRMPD3
RALGAPA2
SUSD4
THSD4
MYO1B
NGLY1
CNOT3
UNC119B
HIVEP2
KLHL24
ZFAND6
SHISA5
TMEM68
HAGHL
NEK5
FNIP1
TASOR
DNM2
ZNF514
UBE2E1
ATF2
CRBN
FBXL16
UAP1L1
SSBP3
GOLGA5
FLOT1
TJP1
KPNB1
NKAPD1
ACIN1
KAT5
BPHL
TMEM92
TBC1D3
IGFBP3
ZNF311
CSRNP2
ZKSCAN1
PPP1R15A
ANKS3
DMXL1
MTMR11
YPEL3
RIT1
TUBB
YME1L1
NA
PILRA
PTBP1
SLC4A8
CYTH1
SALL2
ATRIP
TTC30B
RPS8
NA
PTP4A3
SIDT2
COMT
B4GALNT2
DLG2
ANKRD11
DENND3
MRPL2
ZNF585A
MPZL1
TIAL1
BRD2
NUFIP2
CCDC9B
KIAA0319L
RPRD1B
TSC2
NECAB3
NXPE3
MTPAP
PHKA1
ARL8B
RPL37A
RPL37A
RPL37A
ASAH1
ATG16L2
PAK1
ST6GALNAC2
IRF2BP2
TCAP
ARHGAP11A
SCGB1D2
CEP44
CALM3
UBE2D3
UBE2D3
FBXO28
HPS5
VMP1
NKTR
DIO2
TFPI
PEA15
FBXO22
FBXO22
SLC1A2
CNN3
NSUN7
MRNIP
MRNIP
MRNIP
GCHFR
NUCB2
CEP68
NA
METTL25B
CNOT8
ERBB2
ERBB2
SGCE
MRPL9
SON
SLC44A3
CBX7
RAB40C
SCYL1
RMC1
RSF1
TNXB
FBXO9
ARHGEF3
"NAPB"
HLA-B
CDC26
FARP1
DCAF5
NTPCR
NTPCR
MPHOSPH8
CERS4
INPP5F
DDIT3
HFE
ZNF251
SQSTM1
COQ6
RPS9
PLEKHG5
WDR6
SEPHS2
DCUN1D4
HOXB3
NA
PXMP4
UVRAG
PRKCH
KRBOX5
CD164
HLA-A
HLA-A
PLA2G4C
SRRM2
PRAME
SERBP1
GPR68
EEF1A1
RPL15
RPL15
CYBRD1
RBM47
ELAPOR1
ELAPOR1
TSPYL2
SNW1
ZNF12
UPP1
PLD1
CCAR1
RPL13
HSD11B1L
RBM4
ZNF189
PUF60
SELENBP1
SELENBP1
SELENBP1
PAAF1
RALGAPA1
RGS3
PHF21A
PNPLA8
SDHC
COQ8A
IPO5
SYMPK
FES
NA
AAGAB
CLN3
PREPL
RACK1
RACK1
RACK1
ZMYM6
PDCD4
E2F5
SYNE1
SPEF2
ZNF248
CYP1B1
GCC2
ZNF862
RAB8B
NFATC1
CYP4V2
TMEM126B
ZNF518A
CFB
ARF4
RRAGD
RBL2
XPO7
LMOD1
SAP30L
STK11IP
SLC9C1
REEP6
UAP1
EFHC1
NA
IL3RA
BCAP31
ERMARD
CEP85
ZBTB14
CEACAM5
KHDC4
KHDC4
HLA-A
TCP1
FBXO34
ZNF555
ZNF555
YWHAE
USP43
UNC119
DPP7
ZNF276
CPNE7
RPL4
TOGARAM1
NA
NA
KYNU
PLIN2
RPS6
PPP1R1B
PPP1R1B
FAM83A
CMBL
SRSF3
VPS11
MORF4L1
CREBRF
SAMD9
GEM
HSF2
PITPNM3
ZBTB34
SARM1
TRMT5
RPL24
C14orf93
LUC7L3
LUC7L2
ANKFY1
TRIM73
HPX
SRSF1
PSCA
FBXO32
TXNIP
IBTK
SPSB2
FXYD3
TEX30
SLC39A10
LDB3
ZC3H14
ZC3H14
COPS6
ATP6V0E1
IFITM10
WDR31
ZFR
"NADK2"
SREBF1
RNF6
CDC27
TEF
ZFYVE19
RBBP6
IL17REL
TARS1
RNF126
CUX1
"NACA"
GNPDA1
NA
TLCD2
SLC50A1
PCGF6
CCT4
ZNF692
LTN1
LTN1
CENPL
PFKFB3
RPL18
ANO1
ANO1
CALCOCO1
ZG16B
MORF4L2
FTO
DDX50
TANK
ZSCAN30
EIF2A
SDCBP
ATIC
TAGLN
RCBTB1
GPX4
U2AF1L4
PANX2
TIPIN
MIEF2
AGAP4
CERK
ZNF197
FAM83D
ASIC3
SIN3B
KIFC3
CCDC126
CYGB
SPCS1
HSPA2
COL1A1
PIGN
UBAP2L
PPT2-EGFL8
FAM114A1
ENO2
RAB43
