Gene symbol
SERTAD4
HHAT
ACTN4
ACTN4
PTPRD
ID3
ND1
ND2
COX1
COX2
ATP8
ATP6
COX3
ND3
ND4L
ND4
ND5
ND6
CYTB
LONP1
ZFP36L2
MB21D2
COL10A1
UBIAD1
HEG1
EZR
PLBD2
TMEM43
RAP2B
LRRC41
UQCRC1
PGAP3
ATRNL1
NSUN2
UBA1
TSPAN1
WSB2
WSB2
PPP2R5B
PLA2G2A
ABCB8
SP110
LAMC2
LAMC2
FKBP1A
RAB11A
CLDN7
TPCN1
PKN2
MIA2
HHIPL2
DGAT1
PCDH7
ANK3
LONRF3
CASK
TPX2
MUC2
LAMB3
MYG1
ZFYVE26
DNALI1
DPAGT1
SLC22A5
SLC22A5
TGFB2
TGFB2
SOX4
TSPAN15
CALR
EFR3B
ARID1A
IRGQ
WWC1
WWC1
UBL7
HMGCR
TBC1D9
C2CD2
AKR1A1
AMOTL2
POLR1A
MYH9
CNTNAP2
GNAI2
SLC35B2
NA
SERF2
TUBB
FAM193B
SLAIN2
POLDIP2
LAD1
FBXW2
FANCI
MPRIP
WDR1
WDR1
PLXNA1
PLXNA1
SLC30A8
"NAPA"
STK25
ATRN
HOXC12
POLDIP3
C9
NA
NA
H2BC21
KLF6
MROH1
LGALS3BP
MYBL1
WNT9A
PLK2
PLK2
SRCIN1
HMGB1
EFTUD2
DHX58
S100A16
S100A16
EPHA3
ADGRF1
ADGRF1
ANXA6
MAFF
RHOA
CHL1
CHL1
DCTN1
PLXNB2
PLXNB2
DIAPH3
RNF19A
ERG28
CS
BCR
RAB11FIP1
SUGP2
NA
POGK
OAS1
OAS1
OAS1
KANK2
CDC37
ACADM
MRPL27
TMEM214
MST1R
TENM1
TRIM2
BRINP3
PUS3
EGLN3
AP2M1
G6PD
NA
L3MBTL2
DUS1L
TMED10
NA
PTK2
NDUFC2
GTF2IRD2B
BCAR3
SLC37A4
KRT80
KRT80
KRT80
KRT4
KRT4
FAM20C
CAPN2
CAPN2
SRP72
CAPNS1
CAPNS1
RCC1
RPL41
RTEL1-TNFRSF6B
PFDN1
TAF4
C4orf3
TRAPPC6B
CST3
KIF23
RPH3AL
TUBB
CLIC1
CNTNAP2
CXCL16
NTN4
NTN4
IFI44
IFI44
IFI44
ASAP1
COL12A1
AKT1S1
MYOF
MYOF
MYOF
MYOF
VEZF1
SKP2
C1orf116
C1orf116
SMPD4
PCYT2
CSRP1
USP25
FLNA
