Ensembl
ENSG00000281709
ENSG00000280616
ENSG00000283068
ENSG00000283056
missing
ENSG00000197863
ENSG00000115425
ENSG00000116039
ENSG00000103485
ENSG00000044115
ENSG00000104413
ENSG00000185418
ENSG00000092200
ENSG00000125686
ENSG00000167962
ENSG00000198315
ENSG00000198848
ENSG00000105854
ENSG00000168461
ENSG00000177042
ENSG00000240038
ENSG00000070761
ENSG00000042832
ENSG00000226260
ENSG00000182575
ENSG00000206340
ENSG00000125835
ENSG00000273686
ENSG00000085644
ENSG00000152219
ENSG00000085831
ENSG00000085831
ENSG00000112245
ENSG00000236271
ENSG00000150527
ENSG00000121797
ENSG00000145675
ENSG00000214212
ENSG00000072954
ENSG00000131788
ENSG00000125780
ENSG00000135472
ENSG00000100811
missing
ENSG00000182149
ENSG00000113578
ENSG00000166446
ENSG00000049239
ENSG00000067369
ENSG00000111596
ENSG00000166529
ENSG00000081154
ENSG00000156482
ENSG00000159214
ENSG00000113645
ENSG00000088876
ENSG00000174669
ENSG00000165006
ENSG00000109920
ENSG00000163374
ENSG00000243716
ENSG00000174469
ENSG00000169908
ENSG00000161813
ENSG00000114353
ENSG00000095319
missing
ENSG00000157593
ENSG00000165156
ENSG00000142534
ENSG00000119402
ENSG00000269713
ENSG00000040199
ENSG00000165637
ENSG00000273398
ENSG00000100441
ENSG00000105402
ENSG00000175455
ENSG00000112562
ENSG00000101544
ENSG00000133872
ENSG00000166710
ENSG00000089775
ENSG00000198794
ENSG00000196821
ENSG00000153531
ENSG00000184602
ENSG00000145495
ENSG00000108946
ENSG00000137497
ENSG00000062370
ENSG00000135951
ENSG00000135951
ENSG00000165494
ENSG00000177570
ENSG00000245848
ENSG00000175155
ENSG00000122687
ENSG00000243137
ENSG00000146223
ENSG00000111679
ENSG00000124006
ENSG00000128881
ENSG00000165997
ENSG00000055483
missing
ENSG00000172508
ENSG00000105722
ENSG00000134830
ENSG00000100320
ENSG00000126653
ENSG00000092529
ENSG00000092529
ENSG00000164951
ENSG00000157734
ENSG00000231543
ENSG00000110060
ENSG00000168734
ENSG00000197619
ENSG00000244694
ENSG00000170836
ENSG00000137700
ENSG00000173276
ENSG00000175595
ENSG00000162909
ENSG00000115464
ENSG00000183283
ENSG00000115548
ENSG00000130038
ENSG00000138162
ENSG00000258366
ENSG00000138757
ENSG00000171503
ENSG00000165959
ENSG00000113389
ENSG00000111799
ENSG00000006837
ENSG00000175482
ENSG00000136451
ENSG00000106853
ENSG00000188211
ENSG00000155256
ENSG00000104872
ENSG00000111011
ENSG00000152795
ENSG00000170899
ENSG00000156976
ENSG00000196924
ENSG00000103152
ENSG00000246705
ENSG00000074695
ENSG00000100393
ENSG00000147234
ENSG00000188559
ENSG00000143502
ENSG00000187720
ENSG00000128641
ENSG00000151092
ENSG00000277600
ENSG00000175970
ENSG00000010818
ENSG00000114796
ENSG00000086666
ENSG00000164054
ENSG00000167904
ENSG00000103253
ENSG00000197168
ENSG00000217128
ENSG00000163946
ENSG00000079805
ENSG00000144026
ENSG00000170142
ENSG00000115966
ENSG00000113851
ENSG00000127585
ENSG00000197355
ENSG00000157216
ENSG00000066455
ENSG00000206379
ENSG00000277401
ENSG00000108424
ENSG00000150776
ENSG00000100813
ENSG00000172977
ENSG00000137274
ENSG00000167105
ENSG00000274512
ENSG00000146674
ENSG00000223687
ENSG00000110925
ENSG00000106261
ENSG00000087074
ENSG00000168096
ENSG00000172869
ENSG00000014914
